               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.024494,            0.012854,            0.021915,             0.51651,             0.75495,             0.62728,             0.55485,            0.016353,           0.0049703,            0.017526,              0.0067,              0.0067,              0.0067
                 102,            0.024764,            0.012738,            0.022952,              0.5171,             0.75234,              0.6275,             0.55523,            0.016332,            0.004967,              0.0175,            0.006667,            0.006667,            0.006667
                 103,            0.023778,            0.012864,             0.02183,             0.51646,             0.75269,             0.62738,             0.55523,            0.016306,           0.0049644,            0.017487,            0.006634,            0.006634,            0.006634
                 104,            0.024027,            0.012944,            0.021923,             0.51775,             0.75148,             0.62784,             0.55565,            0.016272,           0.0049613,            0.017467,            0.006601,            0.006601,            0.006601
                 105,             0.02552,            0.013127,            0.022857,             0.51843,             0.75126,              0.6282,             0.55596,            0.016248,            0.004958,            0.017446,            0.006568,            0.006568,            0.006568
                 106,            0.024597,             0.01267,            0.021182,             0.51925,             0.75475,             0.62824,             0.55645,             0.01623,           0.0049551,            0.017429,            0.006535,            0.006535,            0.006535
                 107,            0.024654,            0.012792,            0.022666,             0.51953,              0.7561,             0.62879,             0.55696,            0.016206,           0.0049524,            0.017407,            0.006502,            0.006502,            0.006502
                 108,            0.023325,            0.012946,            0.022101,             0.51841,             0.75435,             0.62915,             0.55734,            0.016194,             0.00495,            0.017381,            0.006469,            0.006469,            0.006469
                 109,            0.023891,            0.012662,            0.022064,             0.51877,             0.75362,             0.62966,             0.55751,            0.016168,           0.0049449,            0.017365,            0.006436,            0.006436,            0.006436
                 110,            0.024404,            0.012885,            0.021779,             0.51849,             0.75476,             0.62982,             0.55778,            0.016159,            0.004939,            0.017343,            0.006403,            0.006403,            0.006403
                 111,            0.024476,              0.0126,            0.023032,             0.51944,             0.75608,             0.63019,             0.55771,            0.016142,           0.0049361,            0.017318,             0.00637,             0.00637,             0.00637
                 112,            0.025428,             0.01282,            0.022271,             0.52062,             0.75377,             0.63038,             0.55818,            0.016128,           0.0049339,            0.017291,            0.006337,            0.006337,            0.006337
                 113,            0.024055,            0.012729,            0.022044,             0.51978,             0.75861,              0.6306,             0.55882,            0.016127,           0.0049307,            0.017269,            0.006304,            0.006304,            0.006304
                 114,            0.024202,            0.012602,            0.021026,             0.52077,             0.75787,             0.63107,             0.55893,            0.016132,           0.0049281,            0.017252,            0.006271,            0.006271,            0.006271
                 115,            0.024484,            0.012692,            0.021821,             0.52087,             0.76035,             0.63154,             0.55942,            0.016125,           0.0049248,            0.017232,            0.006238,            0.006238,            0.006238
                 116,            0.024286,            0.012561,            0.021656,             0.52093,             0.75945,             0.63182,             0.55969,            0.016117,           0.0049189,            0.017227,            0.006205,            0.006205,            0.006205
                 117,            0.023921,            0.012557,            0.021628,             0.52274,              0.7594,             0.63243,             0.55988,            0.016092,           0.0049165,            0.017213,            0.006172,            0.006172,            0.006172
                 118,            0.023267,            0.012575,            0.021738,             0.52132,             0.76189,             0.63279,             0.56033,            0.016071,           0.0049134,             0.01721,            0.006139,            0.006139,            0.006139
                 119,            0.024359,              0.0128,            0.022068,             0.52266,             0.76342,             0.63275,             0.56019,             0.01605,           0.0049112,            0.017198,            0.006106,            0.006106,            0.006106
                 120,            0.023418,            0.012524,            0.020912,             0.52301,             0.76265,             0.63313,              0.5603,            0.016033,            0.004909,             0.01718,            0.006073,            0.006073,            0.006073
                 121,            0.023701,            0.012845,            0.020677,             0.52241,             0.76094,             0.63334,             0.56028,            0.016007,           0.0049055,            0.017154,             0.00604,             0.00604,             0.00604
                 122,            0.024547,            0.012735,            0.021941,             0.52235,             0.76104,             0.63377,             0.56051,            0.015988,           0.0049025,            0.017125,            0.006007,            0.006007,            0.006007
                 123,            0.023179,            0.012391,            0.021584,             0.52283,             0.76507,             0.63382,             0.56104,            0.015976,           0.0049016,              0.0171,            0.005974,            0.005974,            0.005974
                 124,            0.023499,            0.012629,            0.021348,             0.52386,             0.76555,             0.63433,             0.56145,            0.015958,           0.0048994,            0.017073,            0.005941,            0.005941,            0.005941
                 125,            0.023472,            0.012665,            0.021248,             0.52358,             0.76429,             0.63489,             0.56181,            0.015945,            0.004897,            0.017046,            0.005908,            0.005908,            0.005908
                 126,            0.023621,            0.012731,            0.021571,             0.52342,             0.76536,             0.63526,             0.56189,            0.015921,           0.0048937,             0.01702,            0.005875,            0.005875,            0.005875
                 127,              0.0232,            0.012657,            0.022349,             0.52349,              0.7671,             0.63561,             0.56278,            0.015898,           0.0048887,            0.017011,            0.005842,            0.005842,            0.005842
                 128,            0.023159,            0.012371,            0.021303,             0.52301,              0.7671,             0.63582,             0.56274,            0.015882,            0.004883,            0.016992,            0.005809,            0.005809,            0.005809
                 129,            0.023489,            0.012406,            0.022542,              0.5243,             0.76331,             0.63571,             0.56269,            0.015873,            0.004878,            0.016961,            0.005776,            0.005776,            0.005776
                 130,             0.02303,            0.012593,            0.020469,             0.52332,             0.76178,             0.63563,             0.56294,            0.015867,           0.0048748,            0.016939,            0.005743,            0.005743,            0.005743
                 131,            0.023627,            0.012719,            0.021368,             0.52404,             0.76425,             0.63648,             0.56368,            0.015851,           0.0048721,            0.016922,             0.00571,             0.00571,             0.00571
                 132,            0.023918,            0.012571,            0.021269,             0.52382,             0.76703,              0.6372,             0.56379,            0.015844,           0.0048691,              0.0169,            0.005677,            0.005677,            0.005677
                 133,            0.023717,            0.012813,            0.021476,             0.52506,              0.7657,             0.63747,             0.56419,            0.015821,           0.0048646,            0.016884,            0.005644,            0.005644,            0.005644
                 134,            0.023871,            0.012548,            0.020888,             0.52588,             0.76494,             0.63801,             0.56505,            0.015803,           0.0048612,             0.01687,            0.005611,            0.005611,            0.005611
                 135,            0.022399,            0.012519,            0.020865,             0.52481,             0.76388,             0.63837,             0.56535,            0.015797,           0.0048563,             0.01685,            0.005578,            0.005578,            0.005578
                 136,            0.023123,            0.012424,            0.020921,              0.5258,             0.76671,             0.63843,             0.56559,            0.015789,           0.0048524,            0.016824,            0.005545,            0.005545,            0.005545
                 137,            0.022475,            0.012459,            0.020323,             0.52485,              0.7687,             0.63889,             0.56594,            0.015797,           0.0048477,            0.016798,            0.005512,            0.005512,            0.005512
                 138,            0.023709,            0.012501,            0.021337,             0.52519,             0.77041,             0.63921,             0.56672,            0.015794,           0.0048445,            0.016773,            0.005479,            0.005479,            0.005479
                 139,             0.02363,            0.012432,            0.021058,             0.52467,             0.76956,             0.63972,             0.56699,            0.015782,           0.0048418,            0.016749,            0.005446,            0.005446,            0.005446
                 140,            0.023706,            0.012471,             0.02245,             0.52607,              0.7687,             0.63996,             0.56708,            0.015765,           0.0048397,            0.016729,            0.005413,            0.005413,            0.005413
                 141,            0.023146,            0.012281,            0.021536,             0.52566,             0.77023,             0.64108,             0.56796,            0.015744,           0.0048366,              0.0167,             0.00538,             0.00538,             0.00538
                 142,             0.02366,            0.012473,            0.021047,             0.52693,             0.76793,             0.64163,             0.56843,            0.015735,           0.0048332,            0.016685,            0.005347,            0.005347,            0.005347
                 143,            0.023517,             0.01266,            0.021687,             0.52831,             0.76914,             0.64163,             0.56856,            0.015718,            0.004828,            0.016668,            0.005314,            0.005314,            0.005314
                 144,            0.022838,            0.012617,            0.021081,             0.52965,             0.76933,              0.6417,             0.56888,            0.015695,           0.0048211,            0.016663,            0.005281,            0.005281,            0.005281
                 145,            0.023359,            0.012474,            0.021168,             0.52901,              0.7693,             0.64242,             0.56972,            0.015676,           0.0048173,            0.016663,            0.005248,            0.005248,            0.005248
                 146,            0.022151,            0.012412,            0.020649,             0.52816,             0.77016,             0.64279,              0.5699,            0.015655,           0.0048148,            0.016647,            0.005215,            0.005215,            0.005215
                 147,            0.023069,             0.01264,            0.021732,              0.5284,             0.76967,             0.64276,             0.56973,            0.015646,            0.004812,            0.016627,            0.005182,            0.005182,            0.005182
                 148,            0.023498,              0.0125,            0.021422,             0.52874,             0.76921,             0.64285,             0.56981,            0.015628,           0.0048079,             0.01661,            0.005149,            0.005149,            0.005149
                 149,            0.022721,            0.012409,            0.020742,             0.52942,             0.76414,             0.64353,             0.57035,            0.015617,           0.0048045,            0.016605,            0.005116,            0.005116,            0.005116
                 150,            0.022779,            0.012408,            0.021133,             0.52982,             0.76378,             0.64333,             0.57034,              0.0156,            0.004802,            0.016598,            0.005083,            0.005083,            0.005083
                 151,            0.022104,             0.01248,            0.021343,             0.52998,             0.76876,             0.64329,             0.57057,            0.015582,           0.0047989,            0.016586,             0.00505,             0.00505,             0.00505
                 152,            0.022978,            0.012357,            0.020581,             0.53103,             0.76685,             0.64348,             0.57093,            0.015585,           0.0047933,            0.016569,            0.005017,            0.005017,            0.005017
